year_month,category,island,value
2024-08,PER PERSON PER DAY SPENDING ($),molokai,160.08136608662014
2024-08,PER PERSON PER DAY SPENDING ($),oahu,248.81359422794182
2024-08,PER PERSON PER TRIP SPENDING ($),hawaii island,1461.4073329765856
2024-08,PER PERSON PER TRIP SPENDING ($),kauai,1698.402995532616
2024-08,PER PERSON PER TRIP SPENDING ($),lanai,1740.251838798166
2024-08,PER PERSON PER TRIP SPENDING ($),maui,1745.1573428288884
2024-08,PER PERSON PER TRIP SPENDING ($),molokai,591.8204908432992
2024-08,PER PERSON PER TRIP SPENDING ($),oahu,1724.0347887925072
2024-08,TOTAL EXPENDITURES ($ MILLION),hawaii island,213.51720554181136
2024-08,TOTAL EXPENDITURES ($ MILLION),kauai,204.66576376434756
2024-08,TOTAL EXPENDITURES ($ MILLION),lanai,7.296199117394834
2024-08,TOTAL EXPENDITURES ($ MILLION),maui,350.07589664199025
2024-08,TOTAL EXPENDITURES ($ MILLION),molokai,1.2062809649262172
2024-08,TOTAL EXPENDITURES ($ MILLION),oahu,893.7749740013592
2024-08,TOTAL VISITOR DAYS,hawaii island,1028221.9446497126
2024-08,TOTAL VISITOR DAYS,kauai,849980.4504431501
2024-08,TOTAL VISITOR DAYS,lanai,14076.41561546586
2024-08,TOTAL VISITOR DAYS,maui,1461618.43942687
2024-08,TOTAL VISITOR DAYS,molokai,7535.423981036604
2024-08,TOTAL VISITOR DAYS,oahu,3592146.87113341
2024-08,VISITOR ARRIVALS,hawaii island,146103.82794981656
2024-08,VISITOR ARRIVALS,kauai,120504.82971514354
2024-08,VISITOR ARRIVALS,lanai,4192.61106624295
2024-08,VISITOR ARRIVALS,maui,200598.47215524965
2024-08,VISITOR ARRIVALS,molokai,2038.2548147451914
2024-08,VISITOR ARRIVALS,oahu,518420.4981312171
2024-09,AVERAGE DAILY CENSUS,hawaii island,28408.06706867988
2024-09,AVERAGE DAILY CENSUS,kauai,23977.23730930232
2024-09,AVERAGE DAILY CENSUS,lanai,347.69361559149013
2024-09,AVERAGE DAILY CENSUS,maui,41243.252762273434
2024-09,AVERAGE DAILY CENSUS,molokai,247.88120354860501
2024-09,AVERAGE DAILY CENSUS,oahu,97991.24230749947
2024-09,AVERAGE LENGTH OF STAY,hawaii island,7.265382820357187
2024-09,AVERAGE LENGTH OF STAY,kauai,7.204126668657761
2024-09,AVERAGE LENGTH OF STAY,lanai,3.3667285977582453
2024-09,AVERAGE LENGTH OF STAY,maui,7.484174423406188
2024-09,AVERAGE LENGTH OF STAY,molokai,4.2838827382885345
2024-09,AVERAGE LENGTH OF STAY,oahu,6.775325689558409
2024-09,PER PERSON PER DAY SPENDING ($),hawaii island,256.77088071197966
2024-09,PER PERSON PER DAY SPENDING ($),kauai,295.94210143072604
2024-09,PER PERSON PER DAY SPENDING ($),lanai,479.3543079101645
2024-09,PER PERSON PER DAY SPENDING ($),maui,294.28126991924603
2024-09,PER PERSON PER DAY SPENDING ($),molokai,148.8116642440893
2024-09,PER PERSON PER DAY SPENDING ($),oahu,206.67659045659056
2024-09,PER PERSON PER TRIP SPENDING ($),hawaii island,1865.5387454928018
2024-09,PER PERSON PER TRIP SPENDING ($),kauai,2132.0043852957137
2024-09,PER PERSON PER TRIP SPENDING ($),lanai,1613.8558568997623
2024-09,PER PERSON PER TRIP SPENDING ($),maui,2202.452353617114
2024-09,PER PERSON PER TRIP SPENDING ($),molokai,637.4917197112431
2024-09,PER PERSON PER TRIP SPENDING ($),oahu,1400.3012127508803
2024-09,TOTAL EXPENDITURES ($ MILLION),hawaii island,218.83093201649757
2024-09,TOTAL EXPENDITURES ($ MILLION),kauai,212.8762198745441
2024-09,TOTAL EXPENDITURES ($ MILLION),lanai,5.000052973999246
2024-09,TOTAL EXPENDITURES ($ MILLION),maui,364.11350395446834
2024-09,TOTAL EXPENDITURES ($ MILLION),molokai,1.106628433046873
2024-09,TOTAL EXPENDITURES ($ MILLION),oahu,607.5748756415879
2024-09,TOTAL VISITOR DAYS,hawaii island,852242.0120603964
2024-09,TOTAL VISITOR DAYS,kauai,719317.1192790696
2024-09,TOTAL VISITOR DAYS,lanai,10430.808467744704
2024-09,TOTAL VISITOR DAYS,maui,1237297.582868203
2024-09,TOTAL VISITOR DAYS,molokai,7436.436106458151
2024-09,TOTAL VISITOR DAYS,oahu,2939737.269224984
2024-09,VISITOR ARRIVALS,hawaii island,117301.7352468287
2024-09,VISITOR ARRIVALS,kauai,99847.92777291483
2024-09,VISITOR ARRIVALS,lanai,3098.2029483131237
2024-09,VISITOR ARRIVALS,maui,165321.85286845383
2024-09,VISITOR ARRIVALS,molokai,1735.9102853102609
2024-09,VISITOR ARRIVALS,oahu,433888.7020229112
2024-10,AVERAGE DAILY CENSUS,hawaii island,34085.02446662539
2024-10,AVERAGE DAILY CENSUS,kauai,24899.578403346506
2024-10,AVERAGE DAILY CENSUS,lanai,415.3555188681428
2024-10,AVERAGE DAILY CENSUS,maui,45737.16940978057
2024-10,AVERAGE DAILY CENSUS,molokai,370.4263384392146
2024-10,AVERAGE DAILY CENSUS,oahu,97736.16018340367
2024-10,AVERAGE LENGTH OF STAY,hawaii island,7.9061003102292915
2024-10,AVERAGE LENGTH OF STAY,kauai,7.198703648246457
2024-10,AVERAGE LENGTH OF STAY,lanai,3.7429584784257983
2024-10,AVERAGE LENGTH OF STAY,maui,7.812426633990803
2024-10,AVERAGE LENGTH OF STAY,molokai,6.138799775585611
2024-10,AVERAGE LENGTH OF STAY,oahu,6.728739700550989
2024-10,PER PERSON PER DAY SPENDING ($),hawaii island,252.04774319898752
2024-10,PER PERSON PER DAY SPENDING ($),kauai,271.2440144652159
2024-10,PER PERSON PER DAY SPENDING ($),lanai,577.6864572774952
2024-10,PER PERSON PER DAY SPENDING ($),maui,276.91318980904646
2024-10,PER PERSON PER DAY SPENDING ($),molokai,208.93665583946148
2024-10,PER PERSON PER DAY SPENDING ($),oahu,230.29229425535664
2024-10,PER PERSON PER TRIP SPENDING ($),hawaii island,1992.714740698108
2024-10,PER PERSON PER TRIP SPENDING ($),kauai,1952.6052764957644
2024-10,PER PERSON PER TRIP SPENDING ($),lanai,2162.256423138563
2024-10,PER PERSON PER TRIP SPENDING ($),maui,2163.3639793675457
2024-10,PER PERSON PER TRIP SPENDING ($),molokai,1282.620295978894
